url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places
https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,Harper Lee,"95,110","4,748,537",4.28,324,1960,True,"['Classics', 'Fiction', 'Historical']","Pulitzer Prize for Fiction (1961), Audie Award for Classic (2007), National Book Award Finalist for Fiction (1961), Alabama Author Award for Fiction (1961)",United States
https://www.goodreads.com/book/show/40961427-1984,,,,,,,,True,[],,United States
https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,Harry Potter and the Sorcerer's Stone,"J.K. Rowling, ","118,973","7,505,338",4.48,309,1997,True,"['Fantasy', 'Fiction', 'Young Adult']","Mythopoeic Fantasy Award for Children's Literature (2008), British Book Award for Children's Book of the Year (1998), Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002), American Booksellers Book Of The Year  Award for Children (1999), Audie Award (2000)...moreWest Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000), South Carolina Book Award for Junior Book Award (2001), Grand Canyon Reader Award for Teen Book (2000), Charlotte Award (2000), Nene Award (2000), Massachusetts Children's Book Award (2000), Colorado Blue Spruce Young Adult Book Award (2001), Blue Hen Book Award for Chapter Book (2001), Nevada Young Readers' Award for Young Reader Category (2000), Golden Archer Award for Middle/Junior High (2000), Indian Paintbrush Book Award (2000), Hotze de Roosprijs (2002), Nestlé Smarties Book Prize for 9–11 years (1997), Eliot Rosewater Indiana High School Book Award (2001), Kinderboekwinkelprijs (1999), Parenting Book of the Year Award (1998), North East Teenage Book Award (1999), Specsavers National Book Award for Children's Book of the Year (1998), Washington State Sasquatch Award (2000), Literaturpreis der Jury der jungen Leser for Kinderbuch (1999), Carnegie Medal Nominee (1997), Rebecca Caudill Young Readers' Book Award (2001), Premi Protagonista Jove for Categoria 12-13 anys (2000)...less ",United States
https://www.goodreads.com/book/show/4671.The_Great_Gatsby,The Great Gatsby,"F. Scott Fitzgerald, ","71,579","3,978,174",3.93,200,1925,True,"['Classics', 'Fiction', 'Academic']","Grammy Award Nominee for Best Spoken Word Album (2003), Long Island Reads (2002)",United States
https://www.goodreads.com/book/show/170448.Animal_Farm,Animal Farm,"George Orwell, ","60,997","2,909,471",3.96,141,1945,True,"['Classics', 'Fiction', 'Science Fiction']","Prometheus Hall of Fame Award (2011), Retro Hugo Award for Best Novella (1996)",United States
https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"51,234","3,044,458",4.28,366,1937,True,"['Fantasy', 'Classics', 'Fiction']","Keith Barker Millennium Book Award, Books I Loved Best Yearly (BILBY) Awards for Older Readers (1997), Mythopoeic Scholarship Award for Inklings Studies (1990)",United States
https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,The Diary of a Young Girl,"Anne Frank, ","30,813","2,913,343",4.16,283,1947,True,"['Nonfiction', 'Classics', 'History']",Luisterboek Award Nominee (2008),United States
https://www.goodreads.com/book/show/157993.The_Little_Prince,The Little Prince,"Antoine de Saint-Exupéry, ","43,198","1,481,609",4.31,93,1943,True,"['Classics', 'Fiction', 'Fantasy']",Retro Hugo Award for Best Novella (2019),United States
https://www.goodreads.com/book/show/13079982-fahrenheit-451,Fahrenheit 451,Ray Bradbury,"51,203","1,785,171",3.99,194,1953,True,"['Classics', 'Fiction', 'Science Fiction']","Prometheus Hall of Fame Award (1984), Geffen Award for Best Translated SF Book (2002), California Book Award for Fiction (Silver) (1953), Retro Hugo Award for Best Novel (2004)",United States
https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye,J.D. Salinger,"60,324","2,857,137",3.81,277,1951,True,"['Classics', 'Fiction', 'Young Adult']","Teen Read Award Nominee for Best All-Time-Fave (2010), National Book Award Finalist for Fiction (1952)",United States
